4 [DEBUG   ] [reader] [READER] >> Set Baudrate
2026-09-03 22:14:45 [INFO    ] [reader] [READER] Baudrate set OK (921600)
2026-09-03 22:14:45 [INFO    ] [reader] [READER] Connecting at 921600
2026-09-03 22:14:46 [INFO    ] [reader] [READER] Connecting at 115200
2026-09-03 22:14:46 [INFO    ] [reader] [READER] Application mode @ 115200
2026-09-03 22:14:46 [WARNING ] [reader] [READER] Reader at non-target baud 115200, will be corrected on next set_baudrate()
2026-09-03 22:14:48 [INFO    ] [reader] [READER] Module SOFTWARE/FIRMWARE VERSION = 2025.07.14 rev1  (chip=E710 antenna_ports=8 region=FCC hw_rev=0 bootloader=22021100 compiled=2025.07.14 protocol=00000010 raw_fw=25071401)
2026-09-03 22:14:48 [INFO    ] [reader] [CONFIG] rssi_threshold=-95dBm -> RSSI filter ENABLED at module level (0xAA5B): module itself will not upload reads weaker than -95dBm (they never cross the serial link at all) -> CMD=FF12AA4D6F64756C6574656368AA5B01AAA10051BB1EB9
2026-09-03 22:14:48 [INFO    ] [reader] [CONFIG] q_mode=dynamic -> CMD=FF039B051200CEE8 (module's own default)
2026-09-03 22:14:48 [INFO    ] [reader] [AUTO-TUNE] scan_timeout=12.0s antenna_count=5 passes_target=3 -> dwell_ms=800 (ideal=800.0) one_cycle=4.00s quiet_stop=10.00s (2.50 cycles) passes_achieved=3.00
2026-09-03 22:14:48 [INFO    ] [reader] [CONFIG] scan_timeout=12s quiet_stop=10.0s stable_threshold=0 rssi=-95(module-level 0xAA5B) prefix=('8600',) power=30dBm antenna_allowed=[1, 2, 3, 4, 5] dwell_ms=800 auto_tune=True inventory_mode=AA48 q=dynamic min_reads_per_scan=1 min_native_read_count=1 rssi_strict=-95dBm(if count<10)
2026-09-03 22:14:48 [DEBUG   ] [reader] [READER] SET REGION: SUCCESS
2026-09-03 22:14:48 [DEBUG   ] [reader] [READER] SET GEN2: SUCCESS
2026-09-03 22:14:48 [DEBUG   ] [reader] [READER] SET POWER: SUCCESS
2026-09-03 22:14:49 [DEBUG   ] [reader] [READER] SET RSSI FILTER (0xAA5B): SUCCESS
2026-09-03 22:14:49 [DEBUG   ] [reader] [READER] ENABLE ANT: SUCCESS
2026-09-03 22:14:49 [WARNING ] [reader] [READER] SET ANTENNA DWELL: STATUS=0500 RAW=ff0095050052dc
2026-09-03 22:14:49 [WARNING ] [reader] [SCAN] SET ANTENNA DWELL not confirmed - module may fall back to its own 4000ms/antenna default, which can make round-robin timing less predictable within scan_timeout.
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET RFMODE: SUCCESS
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET SESSION 1: SUCCESS
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET TARGET AB: SUCCESS
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET Q (dynamic): SUCCESS
2026-09-03 22:14:51 [INFO    ] [reader] [SCAN] Setup took 3.16s (region/gen2/power/antenna/dwell/rfmode/session/target/q/start-async) - scan clock reset here, scan_timeout=12s now means 12s of actual listening time.
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #082 EPC:860015332900000000002E9D RSSI:-39 NativeRC:1 Rate:72300.4/s Total:82 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #083 EPC:860015332900000000001EA2 RSSI:-57 NativeRC:1 Rate:73182.1/s Total:83 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #084 EPC:860015332900000000002EA4 RSSI:-38 NativeRC:1 Rate:74063.8/s Total:84 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #085 EPC:860015332900000000002ED5 RSSI:-50 NativeRC:1 Rate:74945.5/s Total:85 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #086 EPC:860015332900000000002EDF RSSI:-37 NativeRC:1 Rate:75827.2/s Total:86 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #087 EPC:860015332900000000002EB5 RSSI:-46 NativeRC:1 Rate:76708.9/s Total:87 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #088 EPC:860015332900000000002F01 RSSI:-53 NativeRC:1 Rate:77590.7/s Total:88 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #089 EPC:860015332900000000002D6B RSSI:-58 NativeRC:1 Rate:78472.4/s Total:89 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #090 EPC:860015332900000000001EB8 RSSI:-52 NativeRC:1 Rate:79354.1/s Total:90 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #091 EPC:860015332900000000001E86 RSSI:-53 NativeRC:1 Rate:80235.8/s Total:91 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #092 EPC:860015332900000000001EA9 RSSI:-61 NativeRC:1 Rate:81117.5/s Total:92 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #093 EPC:860015332900000000002E9E RSSI:-51 NativeRC:1 Rate:81999.2/s Total:93 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #094 EPC:860015332900000000002ECA RSSI:-40 NativeRC:1 Rate:82880.9/s Total:94 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #095 EPC:860015332900000000002EA7 RSSI:-47 NativeRC:1 Rate:83762.6/s Total:95 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT2 NEW #096 EPC:860015332900000000001E7A RSSI:-57 NativeRC:1 Rate:84644.4/s Total:96 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.1s] ANT2 NEW #097 EPC:860015332900000000002EF0 RSSI:-40 NativeRC:1 Rate:845.9/s Total:97 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.1s] ANT2 NEW #098 EPC:860015332900000000002EFF RSSI:-50 NativeRC:1 Rate:854.6/s Total:98 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.1s] ANT2 NEW #099 EPC:860015332900000000002EA5 RSSI:-46 NativeRC:1 Rate:863.3/s Total:99 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.1s] ANT3 NEW #100 EPC:860015332900000000002EAF RSSI:-43 NativeRC:1 Rate:872.0/s Total:100 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.1s] ANT3 NEW #101 EPC:860015332900000000002EB0 RSSI:-42 NativeRC:1 Rate:880.7/s Total:101 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.1s] ANT3 NEW #102 EPC:860015332900000000002EA6 RSSI:-57 NativeRC:1 Rate:889.5/s Total:102 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.1s] ANT5 NEW #103 EPC:860015332900000000001E9E RSSI:-56 NativeRC:1 Rate:898.2/s Total:103 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.1s] ANT5 NEW #104 EPC:860015332900000000001E78 RSSI:-49 NativeRC:1 Rate:906.9/s Total:104 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.1s] ANT5 NEW #105 EPC:860015332900000000001E89 RSSI:-52 NativeRC:1 Rate:915.6/s Total:105 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.2s] ANT5 NEW #106 EPC:860015332900000000001EA7 RSSI:-55 NativeRC:1 Rate:621.9/s Total:106 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.2s] ANT1 NEW #107 EPC:860015332900000000002F13 RSSI:-49 NativeRC:1 Rate:627.8/s Total:108 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.2s] ANT1 NEW #108 EPC:860015332900000000002EBC RSSI:-43 NativeRC:1 Rate:633.7/s Total:115 Dup:1.1x
2026-09-03 22:14:51 [INFO    ] [reader] [0.2s] ANT1 NEW #109 EPC:860015332900000000002EDB RSSI:-32 NativeRC:1 Rate:486.9/s Total:117 Dup:1.1x
2026-09-03 22:14:51 [INFO    ] [reader] [0.2s] ANT1 NEW #110 EPC:860015332900000000002EDC RSSI:-39 NativeRC:1 Rate:491.4/s Total:118 Dup:1.1x
2026-09-03 22:14:51 [INFO    ] [reader] [0.2s] ANT1 NEW #111 EPC:860015332900000000002F1B RSSI:-45 NativeRC:1 Rate:495.8/s Total:119 Dup:1.1x
2026-09-03 22:14:51 [INFO    ] [reader] [0.2s] ANT1 NEW #112 EPC:860015332900000000002EBA RSSI:-52 NativeRC:1 Rate:500.3/s Total:121 Dup:1.1x
2026-09-03 22:14:51 [INFO    ] [reader] [0.2s] ANT1 NEW #113 EPC:860015332900000000002EC3 RSSI:-32 NativeRC:1 Rate:504.8/s Total:123 Dup:1.1x
2026-09-03 22:14:51 [INFO    ] [reader] [0.2s] ANT1 NEW #114 EPC:860015332900000000002EE0 RSSI:-36 NativeRC:1 Rate:509.2/s Total:127 Dup:1.1x
2026-09-03 22:14:51 [INFO    ] [reader] [0.2s] ANT1 NEW #115 EPC:860015332900000000002EBE RSSI:-43 NativeRC:1 Rate:513.7/s Total:129 Dup:1.1x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #116 EPC:860015332900000000002EF1 RSSI:-40 NativeRC:1 Rate:410.0/s Total:138 Dup:1.2x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #117 EPC:860015332900000000002ECE RSSI:-43 NativeRC:1 Rate:413.6/s Total:139 Dup:1.2x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #118 EPC:8600153329000000000003E8 RSSI:-29 NativeRC:1 Rate:417.1/s Total:142 Dup:1.2x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #119 EPC:860015332900000000002ECB RSSI:-45 NativeRC:1 Rate:420.6/s Total:147 Dup:1.2x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #120 EPC:860015332900000000002EF6 RSSI:-52 NativeRC:1 Rate:351.3/s Total:149 Dup:1.2x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #121 EPC:860015332900000000002EF2 RSSI:-39 NativeRC:1 Rate:354.3/s Total:150 Dup:1.2x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #122 EPC:860015332900000000002EEC RSSI:-49 NativeRC:1 Rate:357.2/s Total:152 Dup:1.2x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #123 EPC:860015332900000000002F0C RSSI:-35 NativeRC:1 Rate:360.1/s Total:157 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #124 EPC:860015332900000000002EB3 RSSI:-41 NativeRC:1 Rate:363.0/s Total:158 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #125 EPC:860015332900000000002EA1 RSSI:-61 NativeRC:1 Rate:366.0/s Total:161 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #126 EPC:860015332900000000002F0E RSSI:-56 NativeRC:1 Rate:368.9/s Total:162 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #127 EPC:86001533290000000000038C RSSI:-27 NativeRC:1 Rate:371.8/s Total:163 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.3s] ANT1 NEW #128 EPC:860015332900000000001EAE RSSI:-53 NativeRC:1 Rate:374.7/s Total:164 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.4s] ANT1 NEW #129 EPC:860015332900000000002EAE RSSI:-59 NativeRC:1 Rate:322.6/s Total:169 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.4s] ANT1 NEW #130 EPC:860015332900000000002ED4 RSSI:-44 NativeRC:1 Rate:325.1/s Total:171 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.4s] ANT1 NEW #131 EPC:860015332900000000002ED7 RSSI:-32 NativeRC:1 Rate:327.7/s Total:172 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.4s] ANT1 NEW #132 EPC:860015332900000000002EDE RSSI:-36 NativeRC:1 Rate:330.2/s Total:173 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.4s] ANT1 NEW #133 EPC:860015332900000000002EF7 RSSI:-53 NativeRC:1 Rate:332.7/s Total:174 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.4s] ANT1 NEW #134 EPC:860015332900000000002EEE RSSI:-44 NativeRC:1 Rate:335.2/s Total:177 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.4s] ANT1 NEW #135 EPC:860015332900000000002EC8 RSSI:-37 NativeRC:1 Rate:337.7/s Total:179 Dup:1.3x
2026-09-03 22:14:51 [INFO    ] [reader] [0.5s] ANT1 NEW #136 EPC:860015332900000000002EB2 RSSI:-39 NativeRC:1 Rate:297.1/s Total:188 Dup:1.4x
2026-09-03 22:14:51 [INFO    ] [reader] [0.5s] ANT1 NEW #137 EPC:860015332900000000002EE2 RSSI:-32 NativeRC:1 Rate:299.3/s Total:190 Dup:1.4x
2026-09-03 22:14:51 [INFO    ] [reader] [0.5s] ANT1 NEW #138 EPC:860015332900000000002F05 RSSI:-53 NativeRC:1 Rate:301.5/s Total:192 Dup:1.4x
2026-09-03 22:14:51 [INFO    ] [reader] [0.5s] ANT1 NEW #139 EPC:860015332900000000002F18 RSSI:-32 NativeRC:1 Rate:303.7/s Total:193 Dup:1.4x
2026-09-03 22:14:51 [INFO    ] [reader] [0.5s] ANT1 NEW #140 EPC:860015332900000000002EAB RSSI:-39 NativeRC:1 Rate:305.9/s Total:195 Dup:1.4x
2026-09-03 22:14:52 [INFO    ] [reader] [0.5s] ANT1 NEW #141 EPC:860015332900000000002EE9 RSSI:-39 NativeRC:1 Rate:274.4/s Total:196 Dup:1.4x
2026-09-03 22:14:52 [INFO    ] [reader] [0.5s] ANT1 NEW #142 EPC:860015332900000000002EEB RSSI:-43 NativeRC:1 Rate:276.3/s Total:198 Dup:1.4x
2026-09-03 22:14:52 [INFO    ] [reader] [0.5s] ANT1 NEW #143 EPC:860015332900000000002F08 RSSI:-60 NativeRC:1 Rate:278.3/s Total:202 Dup:1.4x
2026-09-03 22:14:52 [INFO    ] [reader] [0.5s] ANT1 NEW #144 EPC:860015332900000000002F09 RSSI:-51 NativeRC:1 Rate:280.2/s Total:209 Dup:1.5x
2026-09-03 22:14:52 [INFO    ] [reader] [0.5s] ANT1 NEW #145 EPC:860015332900000000002F02 RSSI:-55 NativeRC:1 Rate:282.2/s Total:210 Dup:1.4x
2026-09-03 22:14:52 [INFO    ] [reader] [0.6s] ANT1 NEW #146 EPC:860015332900000000002ED6 RSSI:-47 NativeRC:1 Rate:255.5/s Total:220 Dup:1.5x
2026-09-03 22:14:52 [INFO    ] [reader] [0.6s] ANT1 NEW #147 EPC:860015332900000000002EB7 RSSI:-54 NativeRC:1 Rate:257.2/s Total:222 Dup:1.5x
2026-09-03 22:14:52 [INFO    ] [reader] [0.6s] ANT1 NEW #148 EPC:860015332900000000002ED2 RSSI:-47 NativeRC:1 Rate:259.0/s Total:223 Dup:1.5x
2026-09-03 22:14:52 [INFO    ] [reader] [0.6s] ANT1 NEW #149 EPC:860015332900000000000405 RSSI:-39 NativeRC:1 Rate:260.7/s Total:224 Dup:1.5x
2026-09-03 22:14:52 [INFO    ] [reader] [0.6s] ANT1 NEW #150 EPC:860015332900000000002EAC RSSI:-44 NativeRC:1 Rate:262.5/s Total:226 Dup:1.5x
2026-09-03 22:14:52 [INFO    ] [reader] [0.6s] ANT1 NEW #151 EPC:860015332900000000002EA2 RSSI:-52 NativeRC:1 Rate:240.1/s Total:228 Dup:1.5x
2026-09-03 22:14:52 [INFO    ] [reader] [0.6s] ANT1 NEW #152 EPC:860015332900000000002EF3 RSSI:-45 NativeRC:1 Rate:241.7/s Total:232 Dup:1.5x
2026-09-03 22:14:52 [INFO    ] [reader] [0.6s] ANT1 NEW #153 EPC:860015332900000000002EFE RSSI:-55 NativeRC:1 Rate:243.3/s Total:239 Dup:1.6x
2026-09-03 22:14:52 [INFO    ] [reader] [0.6s] ANT1 NEW #154 EPC:860015332900000000002ED9 RSSI:-53 NativeRC:1 Rate:244.9/s Total:240 Dup:1.6x
2026-09-03 22:14:52 [INFO    ] [reader] [0.6s] ANT1 NEW #155 EPC:860015332900000000002ECC RSSI:-43 NativeRC:1 Rate:246.4/s Total:242 Dup:1.6x
2026-09-03 22:14:52 [INFO    ] [reader] [0.7s] ANT1 NEW #156 EPC:860015332900000000002F00 RSSI:-58 NativeRC:1 Rate:226.9/s Total:246 Dup:1.6x
2026-09-03 22:14:52 [INFO    ] [reader] [0.7s] ANT2 NEW #157 EPC:860015332900000000002EC7 RSSI:-44 NativeRC:1 Rate:228.4/s Total:250 Dup:1.6x
2026-09-03 22:14:53 [INFO    ] [reader] [2.2s] ANT4 NEW #158 EPC:860015332900000000001EC8 RSSI:-60 NativeRC:1 Rate:72.9/s Total:561 Dup:3.6x
2026-09-03 22:14:54 [INFO    ] [reader] [2.9s] ANT4 NEW #159 EPC:860015332900000000002D6C RSSI:-64 NativeRC:1 Rate:55.3/s Total:718 Dup:4.5x
